Actual Global Sales,Predicted Global Sales,,Absolute Error,RMSE,Mean Squared Error (MSE)
0.14,0.140412794,,0.002948526,0.000136941,0.011702168
0.3,0.300098162,,0.000327208,,
0.23,0.240168598,,0.044211295,,
0.1,0.100214638,,0.00214638,,
4.08,4.079837422,,3.98E-05,,
0.02,0.020156518,,0.007825903,,
0.14,0.140246536,,0.001760975,,
0.09,0.090425916,,0.004732395,,
0.02,0.020185809,,0.009290453,,
2.63,2.629980658,,7.35E-06,,
0.46,0.450423158,,0.020819222,,
0.08,0.080445039,,0.00556299,,
0.08,0.080220913,,0.002761413,,
0.02,0.03046846,,0.523423021,,
0.1,0.100447408,,0.004474079,,
0.08,0.080443196,,0.005539945,,
0.02,0.020473965,,0.023698272,,
0.19,0.190088945,,0.000468133,,
0.51,0.500038872,,0.019531624,,
14.35,14.34965269,,2.42E-05,,
0.43,0.440333991,,0.024032537,,
0.22,0.230285652,,0.046752964,,
0.02,0.010140792,,0.492960398,,
0.05,0.040313859,,0.193722825,,
0.26,0.260466255,,0.001793287,,
0.44,0.450177628,,0.023130973,,
1.9,1.900229782,,0.000120938,,
0.16,0.170347367,,0.064671047,,
0.29,0.290257154,,0.000886738,,
0.05,0.050362409,,0.007248179,,
0.07,0.070518341,,0.007404878,,
0.01,0.010220539,,0.022053884,,
0.05,0.050349491,,0.006989813,,
0.41,0.410101812,,0.000248321,,
0.05,0.050416666,,0.008333312,,
0.34,0.350206627,,0.030019492,,
0.44,0.44038981,,0.000885931,,
0.15,0.140426828,,0.063821147,,
1.28,1.280340756,,0.000266215,,
0.26,0.260138272,,0.000531815,,
0.63,0.620250509,,0.015475383,,
1.02,1.019963275,,3.60E-05,,
0.28,0.280268457,,0.000958774,,
0.26,0.260219399,,0.000843843,,
0.51,0.510041369,,8.11E-05,,
0.73,0.730297742,,0.000407865,,
0.06,0.050304436,,0.161592732,,
0.04,0.040418098,,0.01045246,,
0.4,0.390107764,,0.024730591,,
0.61,0.610429075,,0.000703402,,
0.43,0.430022404,,5.21E-05,,
0.1,0.090117079,,0.098829209,,
0.94,0.930207434,,0.010417623,,
0.03,0.030262842,,0.008761393,,
0.08,0.080378937,,0.004736718,,
0.09,0.100230967,,0.113677413,,
0.05,0.060388499,,0.207769984,,
0.03,0.030146331,,0.004877694,,
0.02,0.020483403,,0.024170152,,
0.13,0.130211106,,0.001623895,,
0.19,0.200407188,,0.054774674,,
0.32,0.330166366,,0.031769893,,
2.56,2.56000571,,2.23E-06,,
0.02,0.020288387,,0.014419353,,
0.15,0.150215977,,0.001439847,,
0.16,0.160230557,,0.00144098,,
0.1,0.110377903,,0.103779031,,
0.34,0.340191416,,0.000562987,,
0.26,0.260404479,,0.001555689,,
0.07,0.070106753,,0.001525042,,
1.35,1.350186165,,0.0001379,,
0.03,0.030314842,,0.010494733,,
0.01,0.010089022,,0.008902228,,
0.01,0.010316063,,0.031606255,,
0.02,0.020465885,,0.023294237,,
0.72,0.710082816,,0.013773866,,
0.03,0.020449538,,0.318348722,,
0.03,0.030370291,,0.012343019,,
0.22,0.220194588,,0.000884493,,
0.03,0.030099955,,0.00333182,,
0.03,0.040492804,,0.349760142,,
0.55,0.560458482,,0.019015421,,
0.04,0.040121264,,0.003031604,,
0.14,0.140370836,,0.002648832,,
0.05,0.040431076,,0.191378471,,
2.11,2.110045899,,2.18E-05,,
0.15,0.150280601,,0.001870675,,
0.5,0.500143039,,0.000286078,,
0.39,0.390346902,,0.000889493,,
0.11,0.110242324,,0.002202944,,
3.89,3.900025095,,0.002577145,,
0.19,0.19028429,,0.001496263,,
0.4,0.400109491,,0.000273727,,
0.07,0.070476241,,0.006803446,,
0.56,0.550185291,,0.017526267,,
0.02,0.020428324,,0.02141621,,
0.4,0.40002341,,5.85E-05,,
0.13,0.130075874,,0.000583643,,
0.03,0.030301631,,0.01005436,,
1.5,1.5102161,,0.006810733,,
3.77,3.780075406,,0.002672522,,
0.1,0.100404898,,0.004048978,,
0.79,0.79021435,,0.000271329,,
0.35,0.340282403,,0.027764563,,
2.29,2.290122757,,5.36E-05,,
0.11,0.110410349,,0.003730444,,
1.66,1.650072659,,0.005980326,,
0.17,0.1603946,,0.056502356,,
0.23,0.240364915,,0.045064847,,
0.37,0.37006236,,0.00016854,,
0.24,0.240342501,,0.001427086,,
0.12,0.130389632,,0.086580268,,
0.68,0.680270043,,0.000397122,,
0.02,0.020128158,,0.006407889,,
0.06,0.060256438,,0.004273965,,
1.71,1.720179882,,0.005953147,,
0.34,0.340366181,,0.001077002,,
0.01,0.010371581,,0.037158083,,
3.79,3.780037493,,0.00262863,,
0.05,0.050464061,,0.009281218,,
0.02,0.020250831,,0.012541548,,
2.08,2.090069211,,0.004840967,,
0.02,0.020479575,,0.023978731,,
0.86,0.860094997,,0.000110462,,
0.18,0.18048025,,0.002668054,,
0.51,0.500175683,,0.019263366,,
1.13,1.13038557,,0.000341212,,
1.5,1.490105095,,0.006596603,,
0.46,0.470447322,,0.02271157,,
6.95,6.949996484,,5.06E-07,,
0.09,0.090389362,,0.004326245,,
0.05,0.050212476,,0.004249529,,
1.17,1.170247756,,0.000211758,,
0.06,0.060434997,,0.007249955,,
0.08,0.09013823,,0.12672788,,
0.85,0.840114999,,0.011629413,,
